message;severity;node;stamp;location
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim2.sim";"1726127243.314281566";"./src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /turtlesim2/sim";"20";"turtlesim2.sim";"1726127243.297752304";"./src/turtle_frame.cpp:TurtleFrame:112"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim1.sim";"1726127243.309626082";"./src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /turtlesim1/sim";"20";"turtlesim1.sim";"1726127243.294485720";"./src/turtle_frame.cpp:TurtleFrame:112"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim3.sim";"1726127243.314676199";"./src/turtle_frame.cpp:spawnTurtle:209"
"Starting turtlesim with node name /turtlesim3/sim";"20";"turtlesim3.sim";"1726127243.298124517";"./src/turtle_frame.cpp:TurtleFrame:112"
"Oh no! I hit the wall! (Clamping from [x=4.595664, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.326591479";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.603681, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.311181617";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.595664, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.310615289";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.595664, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.300638662";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.611697, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.295242884";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.603681, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.294900116";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.603681, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.285013471";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.619713, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.278798369";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.611697, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.278754146";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.611697, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.268470395";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.627729, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.246973916";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.651778, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.189068300";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.691859, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.118435748";"./src/turtle.cpp:update:260"
